"Time (UTC)","BZN|BE > BZN|NL [MW]","BZN|NL > BZN|BE [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","0","728"
"01.01.2022 01:00 - 01.01.2022 02:00","0","1070"
"01.01.2022 02:00 - 01.01.2022 03:00","0","344"
"01.01.2022 03:00 - 01.01.2022 04:00","0","154"
"01.01.2022 04:00 - 01.01.2022 05:00","352","0"
"01.01.2022 05:00 - 01.01.2022 06:00","696","0"
"01.01.2022 06:00 - 01.01.2022 07:00","868","0"
"01.01.2022 07:00 - 01.01.2022 08:00","1549","0"
"01.01.2022 08:00 - 01.01.2022 09:00","2040","0"
"01.01.2022 09:00 - 01.01.2022 10:00","2033","0"
"01.01.2022 10:00 - 01.01.2022 11:00","2328","0"
"01.01.2022 11:00 - 01.01.2022 12:00","2115","0"
"01.01.2022 12:00 - 01.01.2022 13:00","1989","0"
"01.01.2022 13:00 - 01.01.2022 14:00","1786","0"
"01.01.2022 14:00 - 01.01.2022 15:00","1947","0"
"01.01.2022 15:00 - 01.01.2022 16:00","1674","0"
"01.01.2022 16:00 - 01.01.2022 17:00","1267","0"
"01.01.2022 17:00 - 01.01.2022 18:00","922","0"
"01.01.2022 18:00 - 01.01.2022 19:00","935","0"
"01.01.2022 19:00 - 01.01.2022 20:00","895","0"
"01.01.2022 20:00 - 01.01.2022 21:00","938","0"
"01.01.2022 21:00 - 01.01.2022 22:00","663","0"
"01.01.2022 22:00 - 01.01.2022 23:00","292","0"
"01.01.2022 23:00 - 02.01.2022 00:00","10","56"
"02.01.2022 00:00 - 02.01.2022 01:00","0","610"
"02.01.2022 01:00 - 02.01.2022 02:00","14","85"
"02.01.2022 02:00 - 02.01.2022 03:00","20","18"
"02.01.2022 03:00 - 02.01.2022 04:00","428","0"
"02.01.2022 04:00 - 02.01.2022 05:00","705","0"
"02.01.2022 05:00 - 02.01.2022 06:00","703","0"
"02.01.2022 06:00 - 02.01.2022 07:00","698","0"
"02.01.2022 07:00 - 02.01.2022 08:00","898","0"
"02.01.2022 08:00 - 02.01.2022 09:00","846","0"
"02.01.2022 09:00 - 02.01.2022 10:00","1287","0"
"02.01.2022 10:00 - 02.01.2022 11:00","1357","0"
"02.01.2022 11:00 - 02.01.2022 12:00","1046","0"
"02.01.2022 12:00 - 02.01.2022 13:00","1182","0"
"02.01.2022 13:00 - 02.01.2022 14:00","1380","0"
"02.01.2022 14:00 - 02.01.2022 15:00","2030","0"
"02.01.2022 15:00 - 02.01.2022 16:00","2278","0"
"02.01.2022 16:00 - 02.01.2022 17:00","2217","0"
"02.01.2022 17:00 - 02.01.2022 18:00","1462","0"
"02.01.2022 18:00 - 02.01.2022 19:00","1250","0"
"02.01.2022 19:00 - 02.01.2022 20:00","1354","0"
"02.01.2022 20:00 - 02.01.2022 21:00","1516","0"
"02.01.2022 21:00 - 02.01.2022 22:00","1364","0"
"02.01.2022 22:00 - 02.01.2022 23:00","530","0"
"02.01.2022 23:00 - 03.01.2022 00:00","213","0"
"03.01.2022 00:00 - 03.01.2022 01:00","346","0"
"03.01.2022 01:00 - 03.01.2022 02:00","773","0"
"03.01.2022 02:00 - 03.01.2022 03:00","696","0"
"03.01.2022 03:00 - 03.01.2022 04:00","583","0"
"03.01.2022 04:00 - 03.01.2022 05:00","271","0"
"03.01.2022 05:00 - 03.01.2022 06:00","915","0"
"03.01.2022 06:00 - 03.01.2022 07:00","884","0"
"03.01.2022 07:00 - 03.01.2022 08:00","0","22"
"03.01.2022 08:00 - 03.01.2022 09:00","0","513"
"03.01.2022 09:00 - 03.01.2022 10:00","315","0"
"03.01.2022 10:00 - 03.01.2022 11:00","302","0"
"03.01.2022 11:00 - 03.01.2022 12:00","25","14"
"03.01.2022 12:00 - 03.01.2022 13:00","59","0"
"03.01.2022 13:00 - 03.01.2022 14:00","52","55"
"03.01.2022 14:00 - 03.01.2022 15:00","302","0"
"03.01.2022 15:00 - 03.01.2022 16:00","397","0"
"03.01.2022 16:00 - 03.01.2022 17:00","0","502"
"03.01.2022 17:00 - 03.01.2022 18:00","0","1027"
"03.01.2022 18:00 - 03.01.2022 19:00","0","1077"
"03.01.2022 19:00 - 03.01.2022 20:00","0","828"
"03.01.2022 20:00 - 03.01.2022 21:00","0","743"
"03.01.2022 21:00 - 03.01.2022 22:00","0","718"
"03.01.2022 22:00 - 03.01.2022 23:00","0","811"
"03.01.2022 23:00 - 04.01.2022 00:00","0","1283"
"04.01.2022 00:00 - 04.01.2022 01:00","0","563"
"04.01.2022 01:00 - 04.01.2022 02:00","207","14"
"04.01.2022 02:00 - 04.01.2022 03:00","737","0"
"04.01.2022 03:00 - 04.01.2022 04:00","831","0"
"04.01.2022 04:00 - 04.01.2022 05:00","1157","0"
"04.01.2022 05:00 - 04.01.2022 06:00","920","0"
"04.01.2022 06:00 - 04.01.2022 07:00","671","0"
"04.01.2022 07:00 - 04.01.2022 08:00","336","0"
"04.01.2022 08:00 - 04.01.2022 09:00","405","0"
"04.01.2022 09:00 - 04.01.2022 10:00","341","0"
"04.01.2022 10:00 - 04.01.2022 11:00","14","102"
"04.01.2022 11:00 - 04.01.2022 12:00","0","458"
"04.01.2022 12:00 - 04.01.2022 13:00","0","628"
"04.01.2022 13:00 - 04.01.2022 14:00","0","580"
"04.01.2022 14:00 - 04.01.2022 15:00","0","328"
"04.01.2022 15:00 - 04.01.2022 16:00","0","366"
"04.01.2022 16:00 - 04.01.2022 17:00","0","534"
"04.01.2022 17:00 - 04.01.2022 18:00","0","923"
"04.01.2022 18:00 - 04.01.2022 19:00","0","873"
"04.01.2022 19:00 - 04.01.2022 20:00","0","1182"
"04.01.2022 20:00 - 04.01.2022 21:00","0","1322"
"04.01.2022 21:00 - 04.01.2022 22:00","0","1399"
"04.01.2022 22:00 - 04.01.2022 23:00","0","1239"
"04.01.2022 23:00 - 05.01.2022 00:00","0","737"
"05.01.2022 00:00 - 05.01.2022 01:00","0","820"
"05.01.2022 01:00 - 05.01.2022 02:00","0","970"
"05.01.2022 02:00 - 05.01.2022 03:00","0","558"
"05.01.2022 03:00 - 05.01.2022 04:00","0","796"
"05.01.2022 04:00 - 05.01.2022 05:00","0","1043"
"05.01.2022 05:00 - 05.01.2022 06:00","0","1893"
"05.01.2022 06:00 - 05.01.2022 07:00","0","1539"
"05.01.2022 07:00 - 05.01.2022 08:00","0","1708"
"05.01.2022 08:00 - 05.01.2022 09:00","0","1812"
"05.01.2022 09:00 - 05.01.2022 10:00","0","2032"
"05.01.2022 10:00 - 05.01.2022 11:00","0","1732"
"05.01.2022 11:00 - 05.01.2022 12:00","0","1429"
"05.01.2022 12:00 - 05.01.2022 13:00","0","1271"
"05.01.2022 13:00 - 05.01.2022 14:00","0","1468"
"05.01.2022 14:00 - 05.01.2022 15:00","0","1295"
"05.01.2022 15:00 - 05.01.2022 16:00","0","1782"
"05.01.2022 16:00 - 05.01.2022 17:00","0","2116"
"05.01.2022 17:00 - 05.01.2022 18:00","0","2496"
"05.01.2022 18:00 - 05.01.2022 19:00","0","2484"
"05.01.2022 19:00 - 05.01.2022 20:00","0","2079"
"05.01.2022 20:00 - 05.01.2022 21:00","0","2034"
