"Time (UTC)","BZN|DE-LU > BZN|NL [MW]","BZN|NL > BZN|DE-LU [MW]"
"01.01.2022 00:00 - 01.01.2022 00:15","1325","540"
"01.01.2022 00:15 - 01.01.2022 00:30","1346","436"
"01.01.2022 00:30 - 01.01.2022 00:45","1316","380"
"01.01.2022 00:45 - 01.01.2022 01:00","1269","346"
"01.01.2022 01:00 - 01.01.2022 01:15","1143","241"
"01.01.2022 01:15 - 01.01.2022 01:30","1135","235"
"01.01.2022 01:30 - 01.01.2022 01:45","1044","231"
"01.01.2022 01:45 - 01.01.2022 02:00","1046","420"
"01.01.2022 02:00 - 01.01.2022 02:15","1344","820"
"01.01.2022 02:15 - 01.01.2022 02:30","1399","825"
"01.01.2022 02:30 - 01.01.2022 02:45","1324","871"
"01.01.2022 02:45 - 01.01.2022 03:00","1423","881"
"01.01.2022 03:00 - 01.01.2022 03:15","1532","1057"
"01.01.2022 03:15 - 01.01.2022 03:30","1558","1145"
"01.01.2022 03:30 - 01.01.2022 03:45","1521","1055"
"01.01.2022 03:45 - 01.01.2022 04:00","1523","1014"
"01.01.2022 04:00 - 01.01.2022 04:15","1421","1312"
"01.01.2022 04:15 - 01.01.2022 04:30","1298","1257"
"01.01.2022 04:30 - 01.01.2022 04:45","1199","1324"
"01.01.2022 04:45 - 01.01.2022 05:00","1099","1399"
"01.01.2022 05:00 - 01.01.2022 05:15","1237","1330"
"01.01.2022 05:15 - 01.01.2022 05:30","1296","1359"
"01.01.2022 05:30 - 01.01.2022 05:45","1390","1302"
"01.01.2022 05:45 - 01.01.2022 06:00","1480","1257"
"01.01.2022 06:00 - 01.01.2022 06:15","1613","1188"
"01.01.2022 06:15 - 01.01.2022 06:30","1593","1241"
"01.01.2022 06:30 - 01.01.2022 06:45","1510","1265"
"01.01.2022 06:45 - 01.01.2022 07:00","1475","1318"
"01.01.2022 07:00 - 01.01.2022 07:15","1499","1187"
"01.01.2022 07:15 - 01.01.2022 07:30","1369","1261"
"01.01.2022 07:30 - 01.01.2022 07:45","1238","1449"
"01.01.2022 07:45 - 01.01.2022 08:00","1232","1642"
"01.01.2022 08:00 - 01.01.2022 08:15","1331","1844"
"01.01.2022 08:15 - 01.01.2022 08:30","1359","1910"
"01.01.2022 08:30 - 01.01.2022 08:45","1279","1974"
"01.01.2022 08:45 - 01.01.2022 09:00","1222","1963"
"01.01.2022 09:00 - 01.01.2022 09:15","1197","1734"
"01.01.2022 09:15 - 01.01.2022 09:30","1133","1874"
"01.01.2022 09:30 - 01.01.2022 09:45","1085","1910"
"01.01.2022 09:45 - 01.01.2022 10:00","976","2028"
"01.01.2022 10:00 - 01.01.2022 10:15","843","2158"
"01.01.2022 10:15 - 01.01.2022 10:30","824","2409"
"01.01.2022 10:30 - 01.01.2022 10:45","883","2531"
"01.01.2022 10:45 - 01.01.2022 11:00","982","2313"
"01.01.2022 11:00 - 01.01.2022 11:15","1078","1921"
"01.01.2022 11:15 - 01.01.2022 11:30","1102","1964"
"01.01.2022 11:30 - 01.01.2022 11:45","1126","2010"
"01.01.2022 11:45 - 01.01.2022 12:00","1121","2030"
"01.01.2022 12:00 - 01.01.2022 12:15","1053","2259"
"01.01.2022 12:15 - 01.01.2022 12:30","1081","2299"
"01.01.2022 12:30 - 01.01.2022 12:45","1067","2458"
"01.01.2022 12:45 - 01.01.2022 13:00","1096","2495"
"01.01.2022 13:00 - 01.01.2022 13:15","1109","2306"
"01.01.2022 13:15 - 01.01.2022 13:30","1129","2211"
"01.01.2022 13:30 - 01.01.2022 13:45","1148","2278"
"01.01.2022 13:45 - 01.01.2022 14:00","1168","2253"
"01.01.2022 14:00 - 01.01.2022 14:15","1249","1937"
"01.01.2022 14:15 - 01.01.2022 14:30","1301","1835"
"01.01.2022 14:30 - 01.01.2022 14:45","1305","1844"
"01.01.2022 14:45 - 01.01.2022 15:00","1353","1779"
"01.01.2022 15:00 - 01.01.2022 15:15","1428","1473"
"01.01.2022 15:15 - 01.01.2022 15:30","1473","1398"
"01.01.2022 15:30 - 01.01.2022 15:45","1474","1455"
"01.01.2022 15:45 - 01.01.2022 16:00","1431","1505"
"01.01.2022 16:00 - 01.01.2022 16:15","1321","1605"
"01.01.2022 16:15 - 01.01.2022 16:30","1377","1479"
"01.01.2022 16:30 - 01.01.2022 16:45","1421","1468"
"01.01.2022 16:45 - 01.01.2022 17:00","1489","1415"
"01.01.2022 17:00 - 01.01.2022 17:15","1619","1030"
"01.01.2022 17:15 - 01.01.2022 17:30","1644","1060"
"01.01.2022 17:30 - 01.01.2022 17:45","1677","936"
"01.01.2022 17:45 - 01.01.2022 18:00","1573","880"
"01.01.2022 18:00 - 01.01.2022 18:15","1414","1106"
"01.01.2022 18:15 - 01.01.2022 18:30","1338","1212"
"01.01.2022 18:30 - 01.01.2022 18:45","1402","1122"
"01.01.2022 18:45 - 01.01.2022 19:00","1494","1079"
"01.01.2022 19:00 - 01.01.2022 19:15","1337","1038"
"01.01.2022 19:15 - 01.01.2022 19:30","1350","1017"
"01.01.2022 19:30 - 01.01.2022 19:45","1414","939"
"01.01.2022 19:45 - 01.01.2022 20:00","1463","884"
"01.01.2022 20:00 - 01.01.2022 20:15","1385","1105"
"01.01.2022 20:15 - 01.01.2022 20:30","1391","1108"
"01.01.2022 20:30 - 01.01.2022 20:45","1422","1116"
"01.01.2022 20:45 - 01.01.2022 21:00","1481","996"
"01.01.2022 21:00 - 01.01.2022 21:15","1354","811"
"01.01.2022 21:15 - 01.01.2022 21:30","1351","809"
"01.01.2022 21:30 - 01.01.2022 21:45","1374","648"
"01.01.2022 21:45 - 01.01.2022 22:00","1351","725"
"01.01.2022 22:00 - 01.01.2022 22:15","1335","1017"
"01.01.2022 22:15 - 01.01.2022 22:30","1317","1151"
"01.01.2022 22:30 - 01.01.2022 22:45","1287","1065"
"01.01.2022 22:45 - 01.01.2022 23:00","1227","1410"
"01.01.2022 23:00 - 01.01.2022 23:15","1408","1689"
"01.01.2022 23:15 - 01.01.2022 23:30","1601","1715"
"01.01.2022 23:30 - 01.01.2022 23:45","1558","1762"
"01.01.2022 23:45 - 02.01.2022 00:00","1576","1836"
"02.01.2022 00:00 - 02.01.2022 00:15","1665","1375"
"02.01.2022 00:15 - 02.01.2022 00:30","1648","1469"
"02.01.2022 00:30 - 02.01.2022 00:45","1687","1358"
"02.01.2022 00:45 - 02.01.2022 01:00","1531","1476"
"02.01.2022 01:00 - 02.01.2022 01:15","1618","1559"
"02.01.2022 01:15 - 02.01.2022 01:30","1591","1700"
"02.01.2022 01:30 - 02.01.2022 01:45","1579","1631"
"02.01.2022 01:45 - 02.01.2022 02:00","1595","1690"
"02.01.2022 02:00 - 02.01.2022 02:15","1738","1592"
"02.01.2022 02:15 - 02.01.2022 02:30","1655","1642"
"02.01.2022 02:30 - 02.01.2022 02:45","1654","1729"
"02.01.2022 02:45 - 02.01.2022 03:00","1640","1781"
"02.01.2022 03:00 - 02.01.2022 03:15","1574","1942"
"02.01.2022 03:15 - 02.01.2022 03:30","1549","1990"
"02.01.2022 03:30 - 02.01.2022 03:45","1538","2022"
"02.01.2022 03:45 - 02.01.2022 04:00","1501","2022"
"02.01.2022 04:00 - 02.01.2022 04:15","1544","2202"
"02.01.2022 04:15 - 02.01.2022 04:30","1555","2179"
"02.01.2022 04:30 - 02.01.2022 04:45","1524","2298"
"02.01.2022 04:45 - 02.01.2022 05:00","1434","2458"
"02.01.2022 05:00 - 02.01.2022 05:15","1492","2338"
"02.01.2022 05:15 - 02.01.2022 05:30","1451","2301"
"02.01.2022 05:30 - 02.01.2022 05:45","1487","2251"
"02.01.2022 05:45 - 02.01.2022 06:00","1445","2319"
"02.01.2022 06:00 - 02.01.2022 06:15","1476","2238"
"02.01.2022 06:15 - 02.01.2022 06:30","1547","2030"
"02.01.2022 06:30 - 02.01.2022 06:45","1528","1916"
"02.01.2022 06:45 - 02.01.2022 07:00","1582","1807"
"02.01.2022 07:00 - 02.01.2022 07:15","1559","1543"
"02.01.2022 07:15 - 02.01.2022 07:30","1447","1417"
"02.01.2022 07:30 - 02.01.2022 07:45","1337","1423"
"02.01.2022 07:45 - 02.01.2022 08:00","1317","1396"
"02.01.2022 08:00 - 02.01.2022 08:15","1291","1239"
"02.01.2022 08:15 - 02.01.2022 08:30","1302","1115"
"02.01.2022 08:30 - 02.01.2022 08:45","1246","1036"
"02.01.2022 08:45 - 02.01.2022 09:00","1223","909"
"02.01.2022 09:00 - 02.01.2022 09:15","1429","922"
"02.01.2022 09:15 - 02.01.2022 09:30","1444","941"
"02.01.2022 09:30 - 02.01.2022 09:45","1445","1040"
"02.01.2022 09:45 - 02.01.2022 10:00","1515","1029"
"02.01.2022 10:00 - 02.01.2022 10:15","1538","980"
"02.01.2022 10:15 - 02.01.2022 10:30","1571","1021"
"02.01.2022 10:30 - 02.01.2022 10:45","1605","972"
"02.01.2022 10:45 - 02.01.2022 11:00","1487","743"
"02.01.2022 11:00 - 02.01.2022 11:15","1412","776"
