"Time (UTC)","BZN|GB > BZN|NL [MW]","BZN|NL > BZN|GB [MW]"
"01.01.2022 00:00 - 01.01.2022 00:15","0","591"
"01.01.2022 00:15 - 01.01.2022 00:30","0","591"
"01.01.2022 00:30 - 01.01.2022 00:45","0","591"
"01.01.2022 00:45 - 01.01.2022 01:00","0","591"
"01.01.2022 01:00 - 01.01.2022 01:15","0","456"
"01.01.2022 01:15 - 01.01.2022 01:30","0","456"
"01.01.2022 01:30 - 01.01.2022 01:45","0","456"
"01.01.2022 01:45 - 01.01.2022 02:00","0","456"
"01.01.2022 02:00 - 01.01.2022 02:15","412","0"
"01.01.2022 02:15 - 01.01.2022 02:30","412","0"
"01.01.2022 02:30 - 01.01.2022 02:45","412","0"
"01.01.2022 02:45 - 01.01.2022 03:00","412","0"
"01.01.2022 03:00 - 01.01.2022 03:15","795","0"
"01.01.2022 03:15 - 01.01.2022 03:30","795","0"
"01.01.2022 03:30 - 01.01.2022 03:45","795","0"
"01.01.2022 03:45 - 01.01.2022 04:00","795","0"
"01.01.2022 04:00 - 01.01.2022 04:15","994","0"
"01.01.2022 04:15 - 01.01.2022 04:30","994","0"
"01.01.2022 04:30 - 01.01.2022 04:45","994","0"
"01.01.2022 04:45 - 01.01.2022 05:00","994","0"
"01.01.2022 05:00 - 01.01.2022 05:15","995","0"
"01.01.2022 05:15 - 01.01.2022 05:30","995","0"
"01.01.2022 05:30 - 01.01.2022 05:45","995","0"
"01.01.2022 05:45 - 01.01.2022 06:00","995","0"
"01.01.2022 06:00 - 01.01.2022 06:15","995","0"
"01.01.2022 06:15 - 01.01.2022 06:30","995","0"
"01.01.2022 06:30 - 01.01.2022 06:45","995","0"
"01.01.2022 06:45 - 01.01.2022 07:00","995","0"
"01.01.2022 07:00 - 01.01.2022 07:15","995","0"
"01.01.2022 07:15 - 01.01.2022 07:30","995","0"
"01.01.2022 07:30 - 01.01.2022 07:45","995","0"
"01.01.2022 07:45 - 01.01.2022 08:00","995","0"
"01.01.2022 08:00 - 01.01.2022 08:15","995","0"
"01.01.2022 08:15 - 01.01.2022 08:30","995","0"
"01.01.2022 08:30 - 01.01.2022 08:45","995","0"
"01.01.2022 08:45 - 01.01.2022 09:00","995","0"
"01.01.2022 09:00 - 01.01.2022 09:15","995","0"
"01.01.2022 09:15 - 01.01.2022 09:30","995","0"
"01.01.2022 09:30 - 01.01.2022 09:45","995","0"
"01.01.2022 09:45 - 01.01.2022 10:00","995","0"
